City,Country ,Code,Continent,Put Your X Here,List to CSV Converter
Leipzig,Germany,LEJ,Europe,,
Muenchen (Munich) - Franz Josef Strauss,Germany,MUC,Europe,,
Muenster/Osnabrueck,Germany,FMO,Europe,,
Muenster/Osnabrueck,Germany,MSR,Europe,,
Nürnberg (Nuremberg),Germany,NUE,Europe,,
Paderborn/Lippstadt,Germany,PAD,Europe,,
Saarbruecken,Germany,SCN,Europe,,
Stuttgart - Echterdingen,Germany,STR,Europe,,
Westerland,Germany,GWT,Europe,,
"Wiesbaden, Air Base",Germany,WIE,Europe,,
Gibraltar,Gibraltar,GIB,Europe,,
Araxos,Greece,GPA,Europe,,
Chania,Greece,CHQ,Europe,,
Chios,Greece,JKH,Europe,,
Heraklion,Greece,HER,Europe,,
Kalamata,Greece,KLX,Europe,,
Karpathos,Greece,AOK,Europe,,
Kavalla,Greece,KVA,Europe,,
Preveza/Lefkas,Greece,PVK,Europe,,
Saloniki,Greece,SKG,Europe,,
Samos,Greece,SMI,Europe,,
Skiathos,Greece,JSI,Europe,,
Thira,Greece,JTR,Europe,,
Zakynthos,Greece,ZTH,Europe,,
Christmas Line,Iceland,CXI,Europe,,
Egilsstadir,Iceland,EGS,Europe,,
Reykjavik - Metropolitan Area,Iceland,REK,Europe,,
Reykjavik - Keflavik International,Iceland,KEF,Europe,,
Sligo,Ireland,SXL,Europe,,
Alghero Sassari,Italy,AHO,Europe,,
Ancona,Italy,AOI,Europe,,
Bari,Italy,BRI,Europe,,
Bergamo,Italy,BGY,Europe,,
Bologna,Italy,BLQ,Europe,,
"Brescia, Montichiari",Italy,VBS,Europe,,
Brindisi,Italy,BDS,Europe,,
Catania,Italy,CTA,Europe,,
Florence,Italy,FLR,Europe,,
Genoa,Italy,GOA,Europe,,
Lamezia Terme,Italy,SUF,Europe,,
Lampedusa,Italy,LMP,Europe,,
Milan,Italy,MIL,Europe,,
Milan - Linate,Italy,LIN,Europe,,
Milan - Malpensa,Italy,MXP,Europe,,
Milan - Orio Al Serio,Italy,BGY,Europe,,
Naples,Italy,NAP,Europe,,
Olbia,Italy,OLB,Europe,,
Palermo - Punta Raisi,Italy,PMO,Europe,,
Pantelleria,Italy,PNL,Europe,,
Perugia,Italy,PEG,Europe,,
Pescara,Italy,PSR,Europe,,
Pisa - Gal Galilei,Italy,PSA,Europe,,
Reggio Calabria,Italy,REG,Europe,,
Rimini,Italy,RMI,Europe,,
Rome,Italy,ROM,Europe,,
Rome - Ciampino,Italy,CIA,Europe,,
Rome - Fuimicino,Italy,FCO,Europe,,
Trapani,Italy,TPS,Europe,,
Treviso,Italy,TSF,Europe,,
Trieste,Italy,TRS,Europe,,
Turin,Italy,TRN,Europe,,
Venice - Marco Polo,Italy,VCE,Europe,,
Verona (Brescia) Montichiari,Italy,VBS,Europe,,
Verona,Italy,VRN,Europe,,
Luxembourg,Luxembourg,LUX,Europe,,
"Amsterdam, Schiphol",Netherlands,AMS,Europe,,
Den Haag (The Hague),Netherlands,HAG,Europe,,
Eindhoven,Netherlands,EIN,Europe,,
Lelystad,Netherlands,LEY,Europe,,
Maastricht/Aachen,Netherlands,MST,Europe,,
Rotterdam,Netherlands,RTM,Europe,,
Alesund,Norway,AES,Europe,,
Alta,Norway,ALF,Europe,,
Bardufoss,Norway,BDU,Europe,,
Bodo,Norway,BOO,Europe,,
Broennoeysund,Norway,BNN,Europe,,
Evenes,Norway,EVE,Europe,,
Floro,Norway,FRO,Europe,,
Hammerfest,Norway,HFT,Europe,,
Haugesund,Norway,HAU,Europe,,
Kirkenes,Norway,KKN,Europe,,
Kristiansand,Norway,KRS,Europe,,
Kristiansund,Norway,KSU,Europe,,
Lakselv,Norway,LKL,Europe,,
Sogndal,Norway,SOG,Europe,,
Stavanger,Norway,SVG,Europe,,
Tromsoe,Norway,TOS,Europe,,
Trondheim,Norway,TRD,Europe,,
Gdansk,Poland,GDN,Europe,,
"Poznan, Lawica",Poland,POZ,Europe,,
Stettin,Poland,SZZ,Europe,,
Faro,Portugal,FAO,Europe,,
Funchal,Portugal,FNC,Europe,,
Horta,Portugal,HOR,Europe,,
Porto,Portugal,OPO,Europe,,
Porto Santo,Portugal,PXO,Europe,,
Santa Maria,Portugal,SMA,Europe,,
Terceira,Portugal,TER,Europe,,
Alicante,Spain,ALC,Europe,,
Almeria,Spain,LEI,Europe,,
Arrecife/Lanzarote,Spain,ACE,Europe,,
Badajoz,Spain,BJZ,Europe,,
Barcelona,Spain,BCN,Europe,,
Bilbao,Spain,BIO,Europe,,
Cordoba,Spain,ODB,Europe,,
Fuerteventura,Spain,FUE,Europe,,
Gerona,Spain,GRO,Europe,,
Granada,Spain,GRX,Europe,,
Jerez de la Frontera/Cadiz,Spain,XRY,Europe,,
La Coruna,Spain,LCG,Europe,,
Las Palmas,Spain,LPA,Europe,,
Madrid - Barajas,Spain,MAD,Europe,,
Mahon,Spain,MAH,Europe,,
Malaga,Spain,AGP,Europe,,
Murcia,Spain,MJV,Europe,,
Oviedo,Spain,OVD,Europe,,
Reus,Spain,REU,Europe,,
San Sebastian,Spain,EAS,Europe,,
Santa Cruz de la Palma,Spain,SPC,Europe,,
Santander,Spain,SDR,Europe,,
Santiago de Compostela,Spain,SCQ,Europe,,
Tenerife,Spain,TCI,Europe,,
Tenerife - Sur Reina Sofia,Spain,TFS,Europe,,
Tenerife - Norte Los Rodeos,Spain,TFN,Europe,,
Valladolid,Spain,VLL,Europe,,
Valverde,Spain,VDE,Europe,,
Vigo,Spain,VGO,Europe,,
Vitoria,Spain,VIT,Europe,,
Zaragoza,Spain,ZAZ,Europe,,
Longyearbyen - Svalbard,Svalbard/Norway,LYR,Europe,,
Helsingborg,Sweden,JHE,Europe,,
Joenkoeping,Sweden,JKG,Europe,,
Kalmar,Sweden,KLR,Europe,,
Karlstad,Sweden,KSD,Europe,,
Kiruna,Sweden,KRN,Europe,,
Kristianstad,Sweden,KID,Europe,,
Lidkoeping,Sweden,LDK,Europe,,
Lulea,Sweden,LLA,Europe,,
Malmo (Malmoe),Sweden,MMA,Europe,,
Malmo (Malmoe) - Sturup,Sweden,MMX,Europe,,
Norrkoeping,Sweden,NRK,Europe,,
Oerebro,Sweden,ORB,Europe,,
Ronneby,Sweden,RNB,Europe,,
Sundsvall,Sweden,SDL,Europe,,
Vaexjoe,Sweden,VXO,Europe,,
Vasteras,Sweden,VST,Europe,,
Visby,Sweden,VBY,Europe,,
Altenrhein,Switzerland,ACH,Europe,,
Basel,Switzerland,BSL,Europe,,
Bern,Switzerland,BRN,Europe,,
Bern,Switzerland,ZDJ,Europe,,
Geneva,Switzerland,GVA,Europe,,
Lugano,Switzerland,LUG,Europe,,
Zurich (Zürich) - Kloten,Switzerland,ZRH,Europe,,
Basel/Mulhouse,Switzerland/France,EAP,Europe,,
Los Rodeos,Teneriffa/Spain,TFN,Europe,,
Reina Sofia,Teneriffa/Spain,TFS,Europe,,
"Sheffield, City Airport",UK,SZD,Europe,,
Aberdeen,United Kingdom,ABZ,Europe,,
Birmingham,United Kingdom,BHX,Europe,,
Bristol,United Kingdom,BRS,Europe,,
Cambrigde,United Kingdom,CBG,Europe,,
Cardiff,United Kingdom,CWL,Europe,,
Derby (East Midlands),United Kingdom,EMA,Europe,,
Derry (Londonderry),United Kingdom,LDY,Europe,,
Edinburgh,United Kingdom,EDI,Europe,,
Guernsey,United Kingdom,GCI,Europe,,
Humberside,United Kingdom,HUY,Europe,,
Isle of Man,United Kingdom,IOM,Europe,,
Jersey,United Kingdom,JER,Europe,,
Leeds/Bradford,United Kingdom,LBA,Europe,,
Liverpool,United Kingdom,LPL,Europe,,
London - City Airport,United Kingdom,LCY,Europe,,
London - Gatwick,United Kingdom,LGW,Europe,,
London - Heathrow,United Kingdom,LHR,Europe,,
London - Luton,United Kingdom,LTN,Europe,,
London - Stansted,United Kingdom,STN,Europe,,
Manchester,United Kingdom,MAN,Europe,,
Newcastle,United Kingdom,NCL,Europe,,
Orkney,United Kingdom,KOI,Europe,,
Southampton - Eastleigh,United Kingdom,SOU,Europe,,
Southend,United Kingdom,SEN,Europe,,
Stansted (London),United Kingdom,STN,Europe,,
Stornway,United Kingdom,SYY,Europe,,
